LOCATION,Year,hexp_current_USD,Total_HCF,Domestic_HCF,OECD_HCF,Non_OECD_HCF,Investment_HCF,Public_HCF,Private_HCF,Investment,Hospitals,Ambulatory,Ancillary,Administration,Preventive,Long-term,Other_roe,Other_row,Medical retailers,National_CF,population,hexp_constant_2010_USD,gdp_const,gdp_const_ppp,CO2_power_industry,CO2_transport,CO2_other_ind_combustion,CO2_non_combustion,CO2_buildings,Total_CO2_wo_non_combustion,Total_CO2_all,TFC_Mtoe
AUT,2008,44096184583.81179,7705.387721068974,3030.046301756793,2409.251053703276,2266.0903656089054,693.6349041648988,5319.3754863456,1692.3773305584766,693.6349041648988,2491.9900466913214,1387.2101901139881,200.66168288778488,149.98107542067243,60.96447682680364,553.1647243805824,429.5019341124555,41.22469053025535,1697.0539959402124,107832.5232528334,8321496,45385.73856662643,399876867204.146,369822165488.2954,15676.4,22223.67,21844.1,5216.982,11298.1,71042.27,76259.25200000001,27.12
AUT,2009,43129700557.98354,7596.938794294064,2973.686210775815,2451.9567372448732,2171.2958462733795,667.6011931931957,5258.358312337503,1670.9792887633648,667.6011931931957,2490.7291649419585,1389.4464503604302,207.19821831097514,152.1668502171236,57.043846219881345,586.9414731150742,456.1191734853796,34.350227543534714,1555.3421969065107,100724.53592710412,8343323,43561.35224278545,384823180705.02344,355899912424.21594,14334.5,21649.32,18032.3,4552.797,10091.7,64107.81999999999,68660.617,26.31
AUT,2010,42227900258.59975,7643.346614718581,3148.1209918015697,2302.3515996390684,2192.874023277942,719.4059444830781,5229.6661544668605,1694.2745157686422,719.4059444830781,2474.437710206124,1387.4679570536034,208.9921509648105,142.1269278984756,55.15203226352416,580.7897303339228,452.45967276091426,61.039692314888484,1561.47479643924,103787.50481049887,8363404,42227.900258599744,391892746544.68994,362438130466.6035,17286.2,22350.16,19393.3,4748.618,11324.1,70353.76000000001,75102.37800000001,27.7
AUT,2011,45627442569.8204,7496.683021030705,2992.326005698892,2249.2027542712567,2255.1542610605497,728.4655748233517,5100.842653756898,1667.3747924504553,728.4655748233517,2503.8088882090956,1379.7938589246123,191.0844429975786,137.94128817771488,53.2208625710895,501.44559525371494,429.40850980620075,30.7681334024951,1540.7458668648512,103994.99170206331,8391643,44780.38152212477,403346978477.7794,373031463577.16266,17286.3,21722.94,20502.4,4778.312,10097.3,69608.94,74387.252,26.59
AUT,2012,44413105523.06171,7076.754504702216,2818.098435587885,2126.1525191097426,2132.5035500045888,731.4145963394079,4778.246825563023,1567.0930827997854,731.4145963394079,2364.4775608439372,1266.8885063779353,186.1727612695359,132.67267630501811,48.14529763105655,482.70220310998116,404.83494087677946,40.57703085238432,1418.86893109618,102861.82779547453,8429991,42738.438077855404,406091530301.5335,375569735185.251,17286.3,21552.34,19695.5,4727.385,10097.3,68631.44,73358.825,26.72
AUT,2013,46815812490.96625,7158.251308939408,2846.3667301477913,2151.0489900621906,2160.8355887294197,709.6342439804517,4821.644511346004,1626.9725536129515,709.6342439804517,2350.2025479058007,1316.133048908523,184.05040657542887,138.8979680711605,49.619623550025246,491.3588729929253,400.14375338771254,59.82160970812941,1458.3892338592505,102848.80538979072,8479823,44348.21294683218,406195100294.014,375665520868.39526,17375.57,21663.64,19797.21,4748.199,10149.45,68985.87,73734.069,27.44
AUT,2014,48485361122.932434,6796.969902945979,2617.2485216679543,1981.2977123999624,2198.423668878058,687.4880462311206,4590.882739347753,1518.5991173671052,687.4880462311206,2252.5340101057886,1260.3180608793032,173.22858952067506,132.27525011808854,47.16513653154719,484.16587321683625,360.4745842821591,72.40793521541188,1326.9124168450483,100715.65344339724,8546356,45123.74260578521,409561376690.27576,378778788297.9465,16439.57,20496.65,18730.76,4819.503,9602.706,65269.685999999994,70089.189,26.46
BEL,2003,30512929016.683746,10986.103556976228,6569.780789749907,2435.1978263675956,1981.1249408587234,810.5054877236604,6612.602275941944,3562.9957933106243,810.5054877236604,2024.01911233539,1764.7383974077823,194.47687195765957,209.23378758571008,46.583607469318835,958.11613167574,26.487646898430775,NA,4951.942513922537,111276.47433323321,10376133,34768.49439300399,425803276682.69525,394196694055.68335,25284.3,26138.92,30442.2,7924.983,32314.3,114179.72,122104.703,41.76
BEL,2004,35543110546.958595,10931.950629614916,6315.607507038908,2509.9784531171435,2106.3646694588642,806.5334560427809,6802.174230300942,3323.2429432711924,806.5334560427809,2076.458891940115,1746.4634044160528,196.18890292210313,194.8098376580702,45.86020912021619,964.7028289101552,27.633071332519947,NA,4873.300027272902,111800.8873785805,10421137,39713.73591733096,441279866082.0471,408524485105.1355,26182.7,26733.48,27476,8059.083,30693.3,111085.48,119144.563,42.33
BEL,2005,36708723419.8229,10687.486874293698,5994.181419181135,2468.879771254014,2224.425683858555,788.5035169658139,6695.878976690997,3203.104380636887,788.5035169658139,1994.6503775074316,1753.6421335571129,184.747445539145,196.86226467326293,85.94458867341774,960.5876992806757,27.73875247502791,NA,4694.8100956218095,111646.67784437197,10478617,40158.41301693732,450521469885.3845,417080101904.11755,25491,25971.43,24055.9,8065.997,31096.1,106614.43,114680.427,41.86
BEL,2006,38419462263.212715,9927.107896937383,5366.123489708552,2395.1036179902344,2165.8807892385976,738.6775384582232,6136.6894885624115,3051.740869916749,738.6775384582232,1878.7940644654939,1683.5947524742833,160.5495865301888,191.0124540543661,45.73562779672278,892.6164243398997,25.58810906728792,NA,4310.539339750918,109371.09145350334,10547958,41078.224852750085,461812169170.94806,427532713651.5435,24913,25404.6,24923.8,8914.271,28064,103305.4,112219.671,41.49
BEL,2007,44395542506.47277,9760.194241914589,5062.769427405244,2440.5661176104963,2256.858696898851,723.7324538020924,6005.46386171141,3030.997926401087,723.7324538020924,1869.149032617464,1678.947234799855,156.722499936703,167.50227532225608,43.05004531074564,869.1962836066403,24.60256553422645,NA,4227.291850984606,108551.21713708715,10625700,46510.466683404775,477739949852.4907,442278204896.2878,24796.8,25244.74,24823.3,8912.592,24720.7,99585.54,108498.132,40.72
BEL,2008,51065238844.51097,10202.06740405445,5257.9056949965925,2587.6208106886857,2356.540898369174,751.3502278660715,6529.6712185537035,2921.0459576346757,751.3502278660715,2001.1562225640573,1792.3073435558981,164.53621594980046,183.10612888332003,48.44641882247641,908.7476728574007,25.662271653822987,NA,4326.754901901603,112629.03109681435,10709973,52473.918431431055,481481480330.3185,445742008548.90125,23643.3,27345.81,24683.9,8408.957,28396.5,104069.51000000001,112478.467,42.73
BEL,2009,51441575489.20508,10601.20556855366,5466.402676304597,2761.447440374603,2373.355451874459,771.5475781452864,6870.9049010679055,2958.7530893404687,771.5475781452864,2105.3637230943596,1923.8558083255516,181.99084299387553,175.86334917920178,80.81190677936434,950.0719513027238,26.31743250480841,NA,4385.3829762284895,105607.5382841122,10796493,52435.3983437645,470632861743.5535,435698662674.9788,21904.7,26692.46,19388.1,7565.07,26236.6,94221.86000000002,101786.93000000002,39.75
BEL,2010,50426780541.28228,10157.643307974926,5473.43035015913,2437.9900404488494,2246.222917366951,761.9065429181135,6559.294407738027,2836.4423573187855,761.9065429181135,1982.7444616002622,1848.9282271180787,167.21346843620876,154.35017466389039,45.16368891952401,883.4748682660277,24.926297013493517,NA,4288.935579039327,104234.04636017985,10895586,50426.78054128228,483548031197.10846,447655163201.2868,23193.6,26671.39,21743.6,8017.176,28792.6,100401.19,108418.36600000001,42.55
BEL,2011,55877897193.84063,9379.47021394728,4863.326701780363,2276.242369232767,2239.901142934152,708.7795618256453,6064.304342794953,2606.3863093266814,708.7795618256453,1865.4866793162705,1747.2171022770494,148.62286224640076,147.9789041514262,42.8544064057452,829.12089441815,23.335078894181,NA,3866.0747244124113,97386.37717114553,11047744,54780.47966209433,492243688300.30084,455705357904.8721,19915.9,26544.19,21073.3,7644.31,23407.2,90940.59,98584.9,39.56
BEL,2012,53231309661.28747,8466.732302789049,4273.48962981811,2098.6136684494454,2094.6290045214846,652.330372924789,5516.651525329674,2297.750404534585,652.330372924789,1700.9990322638832,1649.2196395246237,141.19464954693873,124.22501338924133,45.18002459361189,766.6958357737931,20.779932261296125,NA,3366.1078025108714,96219.76309048728,11128246,51125.39043049243,493399461340.9658,456775340069.5428,19915.9,24586.29,18778,7002.304,23407.2,86687.39,93689.694,40.07
BEL,2013,56624131492.644394,8623.012622476743,4299.116232300705,2156.544351009199,2167.3520391668394,668.3206419202229,5540.652700169478,2414.039280387042,668.3206419202229,1749.2465394501478,1710.838461892016,142.47392174907415,128.12575553274345,45.67474951092005,785.6341888594015,21.49978241303937,NA,3371.198581149177,97016.5475273173,11182817,53763.061756672214,494389469549.1263,457691861815.8881,20225.56,24968.58,19069.97,6879.213,23771.15,88035.26000000001,94914.473,41.95
BEL,2014,58134779872.363594,7451.222504464508,3025.2765485947402,2043.0055952499315,2382.9403606198357,543.3085613785564,4958.353799820917,1949.5601432650353,543.3085613785564,1730.089889049807,1707.4027732247,137.51213848901767,128.46410016015966,46.48770737059955,806.870992522055,20.302937805988957,NA,2330.7834044636247,96175.10193312854,11209057,54836.91779531348,500783236684.81464,463611031548.6481,18917.61,23353.91,17836.75,7013.245,22233.91,82342.18000000001,89355.425,40.22
CAN,2e3,63622087786.21842,21551.148461353918,15446.355620766639,4053.181905073776,2051.610935513506,1016.7141791030235,12191.470391422648,8342.963890828245,1016.7141791030235,4335.585673735666,4015.4496145644052,NA,934.2834158474489,795.7360158282103,1639.7165168572371,21.11176243402426,NA,8792.551282983903,569956.075125016,30769700,79831.28204547983,1342736881188.6965,1151768855838.715,135444,149962.4,135785,212377.8,94647.6,515839,728216.7999999999,191.53
CAN,2001,66174404849.29433,21975.825463578905,16653.667430547353,3480.8943039421,1841.2637290894584,1090.267102929843,12483.10068689585,8402.457673753213,1090.267102929843,4504.963425258443,4189.085183117175,NA,818.0217412404452,892.3686124483615,1704.327376878411,20.394519453511474,NA,8756.397502252716,454853.52145753324,31081900,81679.41838919831,1366514322196.3857,1172164598599.5415,137822,147786.9,132789,222467.2,89913.2,508311.10000000003,730778.3,185.09
CAN,2002,70024366213.57442,24508.84122537062,17707.211381463756,4015.210380683435,2786.419463223429,1231.39542650613,14043.175090089815,9234.270708774675,1231.39542650613,5121.977643625238,4762.478874806096,NA,934.1002379816214,990.1400256364371,1919.5330873244664,22.236543008547628,NA,9526.979386482084,464381.17399197567,31362e3,85369.25726148726,1407646626140.142,1207446944169.2637,131904,150390.4,139449,228558.7,92517.5,514260.9,742819.6000000001,190.15
CAN,2003,84202555788.64113,26225.194555452228,19637.470833722222,4049.304896391041,2538.418825338934,1385.2071438329024,15079.958369191148,9760.02904242818,1385.2071438329024,5354.2405244355705,4693.991373888321,218.86434071877824,1054.7101649228146,1141.9279092179977,1985.636104183382,23.05276262025983,NA,10367.564231632203,502665.39660520817,31676e3,99417.43333949352,1433016265611.1626,1229208438201.2961,137719,153078,146999,184811.2,96659.5,534455.5,719266.7,196.79
CAN,2004,96491483093.87445,25673.174823105106,18960.981391723697,4055.2604078202635,2656.9330235611437,1257.9815832095603,14724.659763656888,9690.53347623866,1257.9815832095603,5183.159721136896,4480.379469560392,211.3442637625231,1098.8514912102323,1046.1042468025908,1956.659807091954,23.15945284657181,NA,10415.534787484385,497550.1198530293,31995e3,110308.5293402597,1477238591687.9966,1267141333783.1553,129886,157911.1,145632,204389.1,92950.2,526379.2999999999,730768.3999999999,201.54
CAN,2005,111000336774.29987,26590.80053654213,18929.494357700045,4234.158239932925,3427.1479389091473,1476.3811863044398,15174.169123009628,9940.250227228062,1476.3811863044398,5301.387185112462,4665.467645123499,231.38726658828438,1047.8555544818314,1131.0275441951972,1974.0960294672075,27.700337668569617,NA,10735.497787600638,506555.6092830831,32312e3,123023.36903741938,1524530644076.3682,1307707370087.6013,126033,160849.4,144903,200243.1,90299.2,522084.60000000003,722327.7,195.72
CAN,2006,127009309169.38606,26384.68715957492,18417.61152347073,4438.034410864033,3529.041225240171,1495.1858093325768,14881.125077952242,10008.376272290103,1495.1858093325768,5227.779241179682,4581.043000280435,223.80752002999859,929.3187244923463,1036.7351182790162,1952.3418679409492,34.771774470639805,NA,10903.704103569278,510459.0258892465,32570505,137181.2321524756,1564525373435.417,1342013930307.1064,120508,160089.9,143838,190828,83706.9,508142.80000000005,698970.8,192.62
CAN,2007,142192508333.9916,27687.446709789907,19284.37591098796,4556.7018309205905,3846.3689678813384,1461.8396731132004,15742.917209056843,10482.689827619863,1461.8396731132004,5528.160015873874,4887.80685711926,242.9254834330602,986.8103535158755,1102.8543506760598,2056.124122589886,37.02000727766052,NA,11383.90584619103,534894.260040014,32887928,148647.15459331556,1596797584439.464,1369696291657.4634,125228,165636.7,153667,178334,87220,531751.7,710085.7,198.8
CAN,2008,153737831417.46347,27745.508711920473,19259.323922375886,4621.309241815772,3864.8755477288128,1552.0951858941426,15702.785688739848,10490.627837286482,1552.0951858941426,5496.377652907035,4983.612223651752,250.1808376489918,944.9464564191301,1072.5337033259984,2010.8351538975041,37.8113046124697,NA,11397.116193563448,528063.2388031164,33245773,154527.76178404482,1612771324291.352,1383398198807.2742,125626,162525.6,150710,199216.3,86389.4,525251,724467.2999999999,195.43
