LOCATION,Sector
COL,Re-export & Re-import
COG,Agriculture
COG,Fishing
COG,Mining and Quarrying
COG,Food & Beverages
COG,Textiles and Wearing Apparel
COG,Wood and Paper
COG,"Petroleum, Chemical and non-Metallic Mineral Products"
COG,Metal Products
COG,Electrical and Machinery
COG,Transport Equipment
COG,Other Manufacturing
COG,Recycling
COG,"Electricity, Gas and Water"
COG,Construction
COG,Maintenance and Repair
COG,Wholesale Trade
COG,Retail Trade
COG,Hotels and Restraurants
COG,Transport
COG,Post and Telecommunications
COG,Finacial Intermediation and Business Activities
COG,Public Administration
COG,"Education, Health and Other Services"
COG,Private Households
COG,Others
COG,Re-export & Re-import
CRI,Agriculture
CRI,Fishing
CRI,Mining and Quarrying
CRI,Food & Beverages
CRI,Textiles and Wearing Apparel
CRI,Wood and Paper
CRI,"Petroleum, Chemical and non-Metallic Mineral Products"
CRI,Metal Products
CRI,Electrical and Machinery
CRI,Transport Equipment
CRI,Other Manufacturing
CRI,Recycling
CRI,"Electricity, Gas and Water"
CRI,Construction
CRI,Maintenance and Repair
CRI,Wholesale Trade
CRI,Retail Trade
CRI,Hotels and Restraurants
CRI,Transport
CRI,Post and Telecommunications
CRI,Finacial Intermediation and Business Activities
CRI,Public Administration
CRI,"Education, Health and Other Services"
CRI,Private Households
CRI,Others
CRI,Re-export & Re-import
HRV,Agriculture
HRV,Fishing
HRV,Mining and Quarrying
HRV,Food & Beverages
HRV,Textiles and Wearing Apparel
HRV,Wood and Paper
HRV,"Petroleum, Chemical and non-Metallic Mineral Products"
HRV,Metal Products
HRV,Electrical and Machinery
HRV,Transport Equipment
HRV,Other Manufacturing
HRV,Recycling
HRV,"Electricity, Gas and Water"
HRV,Construction
HRV,Maintenance and Repair
HRV,Wholesale Trade
HRV,Retail Trade
HRV,Hotels and Restraurants
HRV,Transport
HRV,Post and Telecommunications
HRV,Finacial Intermediation and Business Activities
HRV,Public Administration
HRV,"Education, Health and Other Services"
HRV,Private Households
HRV,Others
HRV,Re-export & Re-import
CUB,Agriculture
CUB,Fishing
CUB,Mining and Quarrying
CUB,Food & Beverages
CUB,Textiles and Wearing Apparel
CUB,Wood and Paper
CUB,"Petroleum, Chemical and non-Metallic Mineral Products"
CUB,Metal Products
CUB,Electrical and Machinery
CUB,Transport Equipment
CUB,Other Manufacturing
CUB,Recycling
CUB,"Electricity, Gas and Water"
CUB,Construction
CUB,Maintenance and Repair
CUB,Wholesale Trade
CUB,Retail Trade
CUB,Hotels and Restraurants
CUB,Transport
CUB,Post and Telecommunications
CUB,Finacial Intermediation and Business Activities
CUB,Public Administration
CUB,"Education, Health and Other Services"
CUB,Private Households
CUB,Others
CUB,Re-export & Re-import
CYP,Agriculture
CYP,Fishing
CYP,Mining and Quarrying
CYP,Food & Beverages
CYP,Textiles and Wearing Apparel
CYP,Wood and Paper
CYP,"Petroleum, Chemical and non-Metallic Mineral Products"
CYP,Metal Products
CYP,Electrical and Machinery
CYP,Transport Equipment
CYP,Other Manufacturing
CYP,Recycling
CYP,"Electricity, Gas and Water"
CYP,Construction
CYP,Maintenance and Repair
CYP,Wholesale Trade
CYP,Retail Trade
CYP,Hotels and Restraurants
CYP,Transport
CYP,Post and Telecommunications
CYP,Finacial Intermediation and Business Activities
CYP,Public Administration
CYP,"Education, Health and Other Services"
CYP,Private Households
CYP,Others
CYP,Re-export & Re-import
CZE,Agriculture
CZE,Fishing
CZE,Mining and Quarrying
CZE,Food & Beverages
CZE,Textiles and Wearing Apparel
CZE,Wood and Paper
CZE,"Petroleum, Chemical and non-Metallic Mineral Products"
CZE,Metal Products
CZE,Electrical and Machinery
CZE,Transport Equipment
CZE,Other Manufacturing
CZE,Recycling
CZE,"Electricity, Gas and Water"
CZE,Construction
CZE,Maintenance and Repair
CZE,Wholesale Trade
CZE,Retail Trade
CZE,Hotels and Restraurants
CZE,Transport
CZE,Post and Telecommunications
CZE,Finacial Intermediation and Business Activities
CZE,Public Administration
CZE,"Education, Health and Other Services"
CZE,Private Households
CZE,Others
CZE,Re-export & Re-import
CIV,Agriculture
CIV,Fishing
CIV,Mining and Quarrying
CIV,Food & Beverages
CIV,Textiles and Wearing Apparel
CIV,Wood and Paper
CIV,"Petroleum, Chemical and non-Metallic Mineral Products"
CIV,Metal Products
CIV,Electrical and Machinery
CIV,Transport Equipment
CIV,Other Manufacturing
CIV,Recycling
CIV,"Electricity, Gas and Water"
CIV,Construction
CIV,Maintenance and Repair
CIV,Wholesale Trade
CIV,Retail Trade
CIV,Hotels and Restraurants
CIV,Transport
CIV,Post and Telecommunications
CIV,Finacial Intermediation and Business Activities
CIV,Public Administration
CIV,"Education, Health and Other Services"
CIV,Private Households
CIV,Others
CIV,Re-export & Re-import
PRK,Agriculture
PRK,Fishing
PRK,Mining and Quarrying
PRK,Food & Beverages
PRK,Textiles and Wearing Apparel
PRK,Wood and Paper
PRK,"Petroleum, Chemical and non-Metallic Mineral Products"
PRK,Metal Products
PRK,Electrical and Machinery
PRK,Transport Equipment
PRK,Other Manufacturing
PRK,Recycling
PRK,"Electricity, Gas and Water"
PRK,Construction
PRK,Maintenance and Repair
PRK,Wholesale Trade
PRK,Retail Trade
PRK,Hotels and Restraurants
PRK,Transport
PRK,Post and Telecommunications
PRK,Finacial Intermediation and Business Activities
PRK,Public Administration
PRK,"Education, Health and Other Services"
PRK,Private Households
PRK,Others
PRK,Re-export & Re-import
COD,Agriculture
COD,Fishing
COD,Mining and Quarrying
COD,Food & Beverages
COD,Textiles and Wearing Apparel
COD,Wood and Paper
COD,"Petroleum, Chemical and non-Metallic Mineral Products"
COD,Metal Products
COD,Electrical and Machinery
COD,Transport Equipment
COD,Other Manufacturing
COD,Recycling
COD,"Electricity, Gas and Water"
COD,Construction
COD,Maintenance and Repair
COD,Wholesale Trade
COD,Retail Trade
COD,Hotels and Restraurants
COD,Transport
COD,Post and Telecommunications
COD,Finacial Intermediation and Business Activities
COD,Public Administration
COD,"Education, Health and Other Services"
COD,Private Households
COD,Others
COD,Re-export & Re-import
DNK,Agriculture
DNK,Fishing
DNK,Mining and Quarrying
DNK,Food & Beverages
DNK,Textiles and Wearing Apparel
DNK,Wood and Paper
DNK,"Petroleum, Chemical and non-Metallic Mineral Products"
DNK,Metal Products
DNK,Electrical and Machinery
DNK,Transport Equipment
DNK,Other Manufacturing
DNK,Recycling
DNK,"Electricity, Gas and Water"
DNK,Construction
DNK,Maintenance and Repair
DNK,Wholesale Trade
DNK,Retail Trade
DNK,Hotels and Restraurants
DNK,Transport
DNK,Post and Telecommunications
DNK,Finacial Intermediation and Business Activities
DNK,Public Administration
DNK,"Education, Health and Other Services"
DNK,Private Households
DNK,Others
DNK,Re-export & Re-import
DJI,Agriculture
DJI,Fishing
DJI,Mining and Quarrying
DJI,Food & Beverages
DJI,Textiles and Wearing Apparel
DJI,Wood and Paper
DJI,"Petroleum, Chemical and non-Metallic Mineral Products"
DJI,Metal Products
DJI,Electrical and Machinery
DJI,Transport Equipment
DJI,Other Manufacturing
DJI,Recycling
DJI,"Electricity, Gas and Water"
DJI,Construction
DJI,Maintenance and Repair
DJI,Wholesale Trade
DJI,Retail Trade
DJI,Hotels and Restraurants
DJI,Transport
DJI,Post and Telecommunications
DJI,Finacial Intermediation and Business Activities
DJI,Public Administration
DJI,"Education, Health and Other Services"
DJI,Private Households
DJI,Others
DJI,Re-export & Re-import
DOM,Agriculture
DOM,Fishing
DOM,Mining and Quarrying
DOM,Food & Beverages
DOM,Textiles and Wearing Apparel
DOM,Wood and Paper
DOM,"Petroleum, Chemical and non-Metallic Mineral Products"
DOM,Metal Products
DOM,Electrical and Machinery
DOM,Transport Equipment
DOM,Other Manufacturing
DOM,Recycling
DOM,"Electricity, Gas and Water"
DOM,Construction
DOM,Maintenance and Repair
DOM,Wholesale Trade
DOM,Retail Trade
DOM,Hotels and Restraurants
DOM,Transport
DOM,Post and Telecommunications
DOM,Finacial Intermediation and Business Activities
DOM,Public Administration
DOM,"Education, Health and Other Services"
DOM,Private Households
DOM,Others
DOM,Re-export & Re-import
ECU,Agriculture
ECU,Fishing
ECU,Mining and Quarrying
ECU,Food & Beverages
ECU,Textiles and Wearing Apparel
ECU,Wood and Paper
ECU,"Petroleum, Chemical and non-Metallic Mineral Products"
ECU,Metal Products
ECU,Electrical and Machinery
ECU,Transport Equipment
ECU,Other Manufacturing
ECU,Recycling
ECU,"Electricity, Gas and Water"
ECU,Construction
ECU,Maintenance and Repair
ECU,Wholesale Trade
ECU,Retail Trade
ECU,Hotels and Restraurants
ECU,Transport
ECU,Post and Telecommunications
ECU,Finacial Intermediation and Business Activities
ECU,Public Administration
ECU,"Education, Health and Other Services"
ECU,Private Households
ECU,Others
ECU,Re-export & Re-import
EGY,Agriculture
EGY,Fishing
EGY,Mining and Quarrying
EGY,Food & Beverages
EGY,Textiles and Wearing Apparel
EGY,Wood and Paper
EGY,"Petroleum, Chemical and non-Metallic Mineral Products"
EGY,Metal Products
EGY,Electrical and Machinery
EGY,Transport Equipment
EGY,Other Manufacturing
EGY,Recycling
EGY,"Electricity, Gas and Water"
EGY,Construction
EGY,Maintenance and Repair
EGY,Wholesale Trade
EGY,Retail Trade
EGY,Hotels and Restraurants
EGY,Transport
EGY,Post and Telecommunications
EGY,Finacial Intermediation and Business Activities
EGY,Public Administration
EGY,"Education, Health and Other Services"
EGY,Private Households
EGY,Others
EGY,Re-export & Re-import
SLV,Agriculture
SLV,Fishing
SLV,Mining and Quarrying
SLV,Food & Beverages
SLV,Textiles and Wearing Apparel
SLV,Wood and Paper
SLV,"Petroleum, Chemical and non-Metallic Mineral Products"
SLV,Metal Products
SLV,Electrical and Machinery
SLV,Transport Equipment
SLV,Other Manufacturing
SLV,Recycling
SLV,"Electricity, Gas and Water"
SLV,Construction
SLV,Maintenance and Repair
SLV,Wholesale Trade
SLV,Retail Trade
SLV,Hotels and Restraurants
SLV,Transport
SLV,Post and Telecommunications
SLV,Finacial Intermediation and Business Activities
SLV,Public Administration
SLV,"Education, Health and Other Services"
SLV,Private Households
SLV,Others
SLV,Re-export & Re-import
ERI,Agriculture
ERI,Fishing
ERI,Mining and Quarrying
ERI,Food & Beverages
ERI,Textiles and Wearing Apparel
ERI,Wood and Paper
ERI,"Petroleum, Chemical and non-Metallic Mineral Products"
ERI,Metal Products
ERI,Electrical and Machinery
ERI,Transport Equipment
ERI,Other Manufacturing
ERI,Recycling
ERI,"Electricity, Gas and Water"
ERI,Construction
ERI,Maintenance and Repair
ERI,Wholesale Trade
ERI,Retail Trade
ERI,Hotels and Restraurants
ERI,Transport
ERI,Post and Telecommunications
ERI,Finacial Intermediation and Business Activities
ERI,Public Administration
ERI,"Education, Health and Other Services"
ERI,Private Households
ERI,Others
ERI,Re-export & Re-import
EST,Agriculture
EST,Fishing
EST,Mining and Quarrying
EST,Food & Beverages
EST,Textiles and Wearing Apparel
EST,Wood and Paper
EST,"Petroleum, Chemical and non-Metallic Mineral Products"
EST,Metal Products
EST,Electrical and Machinery
EST,Transport Equipment
EST,Other Manufacturing
EST,Recycling
EST,"Electricity, Gas and Water"
EST,Construction
EST,Maintenance and Repair
EST,Wholesale Trade
EST,Retail Trade
EST,Hotels and Restraurants
EST,Transport
EST,Post and Telecommunications
EST,Finacial Intermediation and Business Activities
EST,Public Administration
EST,"Education, Health and Other Services"
EST,Private Households
EST,Others
EST,Re-export & Re-import
ETH,Agriculture
ETH,Fishing
ETH,Mining and Quarrying
ETH,Food & Beverages
ETH,Textiles and Wearing Apparel
ETH,Wood and Paper
ETH,"Petroleum, Chemical and non-Metallic Mineral Products"
ETH,Metal Products
ETH,Electrical and Machinery
ETH,Transport Equipment
ETH,Other Manufacturing
ETH,Recycling
ETH,"Electricity, Gas and Water"
ETH,Construction
ETH,Maintenance and Repair
ETH,Wholesale Trade
ETH,Retail Trade
ETH,Hotels and Restraurants
ETH,Transport
ETH,Post and Telecommunications
ETH,Finacial Intermediation and Business Activities
ETH,Public Administration
ETH,"Education, Health and Other Services"
ETH,Private Households
ETH,Others
ETH,Re-export & Re-import
FJI,Agriculture
FJI,Fishing
FJI,Mining and Quarrying
FJI,Food & Beverages
FJI,Textiles and Wearing Apparel
FJI,Wood and Paper
FJI,"Petroleum, Chemical and non-Metallic Mineral Products"
FJI,Metal Products
FJI,Electrical and Machinery
FJI,Transport Equipment
FJI,Other Manufacturing
FJI,Recycling
FJI,"Electricity, Gas and Water"
FJI,Construction
FJI,Maintenance and Repair
FJI,Wholesale Trade
FJI,Retail Trade
FJI,Hotels and Restraurants
FJI,Transport
FJI,Post and Telecommunications
FJI,Finacial Intermediation and Business Activities
FJI,Public Administration
FJI,"Education, Health and Other Services"
FJI,Private Households
FJI,Others
FJI,Re-export & Re-import
FIN,Agriculture
FIN,Fishing
FIN,Mining and Quarrying
FIN,Food & Beverages
FIN,Textiles and Wearing Apparel
FIN,Wood and Paper
FIN,"Petroleum, Chemical and non-Metallic Mineral Products"
FIN,Metal Products
FIN,Electrical and Machinery
FIN,Transport Equipment
FIN,Other Manufacturing
FIN,Recycling
FIN,"Electricity, Gas and Water"
FIN,Construction
FIN,Maintenance and Repair
FIN,Wholesale Trade
FIN,Retail Trade
FIN,Hotels and Restraurants
FIN,Transport
FIN,Post and Telecommunications
FIN,Finacial Intermediation and Business Activities
FIN,Public Administration
FIN,"Education, Health and Other Services"
FIN,Private Households
FIN,Others
FIN,Re-export & Re-import
FRA,Agriculture
FRA,Fishing
FRA,Mining and Quarrying
FRA,Food & Beverages
FRA,Textiles and Wearing Apparel
FRA,Wood and Paper
FRA,"Petroleum, Chemical and non-Metallic Mineral Products"
FRA,Metal Products
FRA,Electrical and Machinery
FRA,Transport Equipment
FRA,Other Manufacturing
FRA,Recycling
FRA,"Electricity, Gas and Water"
FRA,Construction
FRA,Maintenance and Repair
FRA,Wholesale Trade
FRA,Retail Trade
FRA,Hotels and Restraurants
FRA,Transport
FRA,Post and Telecommunications
FRA,Finacial Intermediation and Business Activities
FRA,Public Administration
FRA,"Education, Health and Other Services"
FRA,Private Households
FRA,Others
FRA,Re-export & Re-import
PYF,Agriculture
PYF,Fishing
PYF,Mining and Quarrying
PYF,Food & Beverages
PYF,Textiles and Wearing Apparel
PYF,Wood and Paper
PYF,"Petroleum, Chemical and non-Metallic Mineral Products"
PYF,Metal Products
PYF,Electrical and Machinery
PYF,Transport Equipment
PYF,Other Manufacturing
PYF,Recycling
PYF,"Electricity, Gas and Water"
PYF,Construction
PYF,Maintenance and Repair
PYF,Wholesale Trade
PYF,Retail Trade
PYF,Hotels and Restraurants
PYF,Transport
PYF,Post and Telecommunications
PYF,Finacial Intermediation and Business Activities
PYF,Public Administration
PYF,"Education, Health and Other Services"
PYF,Private Households
PYF,Others
PYF,Re-export & Re-import
GAB,Agriculture
GAB,Fishing
GAB,Mining and Quarrying
GAB,Food & Beverages
GAB,Textiles and Wearing Apparel
GAB,Wood and Paper
GAB,"Petroleum, Chemical and non-Metallic Mineral Products"
GAB,Metal Products
GAB,Electrical and Machinery
GAB,Transport Equipment
GAB,Other Manufacturing
GAB,Recycling
GAB,"Electricity, Gas and Water"
GAB,Construction
GAB,Maintenance and Repair
GAB,Wholesale Trade
GAB,Retail Trade
GAB,Hotels and Restraurants
GAB,Transport
GAB,Post and Telecommunications
GAB,Finacial Intermediation and Business Activities
GAB,Public Administration
GAB,"Education, Health and Other Services"
GAB,Private Households
GAB,Others
GAB,Re-export & Re-import
GMB,Agriculture
GMB,Fishing
GMB,Mining and Quarrying
GMB,Food & Beverages
GMB,Textiles and Wearing Apparel
GMB,Wood and Paper
GMB,"Petroleum, Chemical and non-Metallic Mineral Products"
GMB,Metal Products
GMB,Electrical and Machinery
GMB,Transport Equipment
GMB,Other Manufacturing
GMB,Recycling
GMB,"Electricity, Gas and Water"
GMB,Construction
GMB,Maintenance and Repair
GMB,Wholesale Trade
GMB,Retail Trade
GMB,Hotels and Restraurants
GMB,Transport
GMB,Post and Telecommunications
GMB,Finacial Intermediation and Business Activities
GMB,Public Administration
GMB,"Education, Health and Other Services"
GMB,Private Households
GMB,Others
GMB,Re-export & Re-import
GEO,Agriculture
GEO,Fishing
GEO,Mining and Quarrying
GEO,Food & Beverages
GEO,Textiles and Wearing Apparel
GEO,Wood and Paper
GEO,"Petroleum, Chemical and non-Metallic Mineral Products"
GEO,Metal Products
GEO,Electrical and Machinery
GEO,Transport Equipment
GEO,Other Manufacturing
GEO,Recycling
GEO,"Electricity, Gas and Water"
GEO,Construction
GEO,Maintenance and Repair
GEO,Wholesale Trade
GEO,Retail Trade
GEO,Hotels and Restraurants
GEO,Transport
GEO,Post and Telecommunications
GEO,Finacial Intermediation and Business Activities
GEO,Public Administration
GEO,"Education, Health and Other Services"
GEO,Private Households
GEO,Others
GEO,Re-export & Re-import
DEU,Agriculture
DEU,Fishing
DEU,Mining and Quarrying
DEU,Food & Beverages
DEU,Textiles and Wearing Apparel
DEU,Wood and Paper
DEU,"Petroleum, Chemical and non-Metallic Mineral Products"
DEU,Metal Products
DEU,Electrical and Machinery
DEU,Transport Equipment
DEU,Other Manufacturing
DEU,Recycling
DEU,"Electricity, Gas and Water"
DEU,Construction
DEU,Maintenance and Repair
DEU,Wholesale Trade
DEU,Retail Trade
DEU,Hotels and Restraurants
DEU,Transport
DEU,Post and Telecommunications
DEU,Finacial Intermediation and Business Activities
DEU,Public Administration
DEU,"Education, Health and Other Services"
DEU,Private Households
DEU,Others
DEU,Re-export & Re-import
GHA,Agriculture
GHA,Fishing
GHA,Mining and Quarrying
GHA,Food & Beverages
GHA,Textiles and Wearing Apparel
GHA,Wood and Paper
GHA,"Petroleum, Chemical and non-Metallic Mineral Products"
GHA,Metal Products
GHA,Electrical and Machinery
GHA,Transport Equipment
GHA,Other Manufacturing
GHA,Recycling
GHA,"Electricity, Gas and Water"
GHA,Construction
GHA,Maintenance and Repair
GHA,Wholesale Trade
GHA,Retail Trade
GHA,Hotels and Restraurants
GHA,Transport
GHA,Post and Telecommunications
GHA,Finacial Intermediation and Business Activities
GHA,Public Administration
GHA,"Education, Health and Other Services"
GHA,Private Households
GHA,Others
GHA,Re-export & Re-import
GRC,Agriculture
GRC,Fishing
GRC,Mining and Quarrying
GRC,Food & Beverages
GRC,Textiles and Wearing Apparel
GRC,Wood and Paper
GRC,"Petroleum, Chemical and non-Metallic Mineral Products"
GRC,Metal Products
GRC,Electrical and Machinery
GRC,Transport Equipment
GRC,Other Manufacturing
GRC,Recycling
GRC,"Electricity, Gas and Water"
GRC,Construction
GRC,Maintenance and Repair
GRC,Wholesale Trade
GRC,Retail Trade
GRC,Hotels and Restraurants
GRC,Transport
GRC,Post and Telecommunications
GRC,Finacial Intermediation and Business Activities
GRC,Public Administration
GRC,"Education, Health and Other Services"
GRC,Private Households
GRC,Others
GRC,Re-export & Re-import
GRL,Agriculture
GRL,Fishing
GRL,Mining and Quarrying
GRL,Food & Beverages
GRL,Textiles and Wearing Apparel
GRL,Wood and Paper
GRL,"Petroleum, Chemical and non-Metallic Mineral Products"
GRL,Metal Products
GRL,Electrical and Machinery
GRL,Transport Equipment
GRL,Other Manufacturing
GRL,Recycling
GRL,"Electricity, Gas and Water"
GRL,Construction
GRL,Maintenance and Repair
GRL,Wholesale Trade
GRL,Retail Trade
GRL,Hotels and Restraurants
GRL,Transport
GRL,Post and Telecommunications
GRL,Finacial Intermediation and Business Activities
GRL,Public Administration
GRL,"Education, Health and Other Services"
GRL,Private Households
GRL,Others
GRL,Re-export & Re-import
GTM,Agriculture
GTM,Fishing
GTM,Mining and Quarrying
GTM,Food & Beverages
GTM,Textiles and Wearing Apparel
GTM,Wood and Paper
GTM,"Petroleum, Chemical and non-Metallic Mineral Products"
GTM,Metal Products
GTM,Electrical and Machinery
GTM,Transport Equipment
GTM,Other Manufacturing
GTM,Recycling
GTM,"Electricity, Gas and Water"
GTM,Construction
GTM,Maintenance and Repair
GTM,Wholesale Trade
GTM,Retail Trade
GTM,Hotels and Restraurants
GTM,Transport
GTM,Post and Telecommunications
GTM,Finacial Intermediation and Business Activities
GTM,Public Administration
GTM,"Education, Health and Other Services"
GTM,Private Households
GTM,Others
GTM,Re-export & Re-import
GIN,Agriculture
GIN,Fishing
GIN,Mining and Quarrying
GIN,Food & Beverages
GIN,Textiles and Wearing Apparel
GIN,Wood and Paper
GIN,"Petroleum, Chemical and non-Metallic Mineral Products"
GIN,Metal Products
GIN,Electrical and Machinery
GIN,Transport Equipment
GIN,Other Manufacturing
GIN,Recycling
GIN,"Electricity, Gas and Water"
GIN,Construction
GIN,Maintenance and Repair
GIN,Wholesale Trade
GIN,Retail Trade
GIN,Hotels and Restraurants
GIN,Transport
GIN,Post and Telecommunications
GIN,Finacial Intermediation and Business Activities
GIN,Public Administration
GIN,"Education, Health and Other Services"
GIN,Private Households
GIN,Others
GIN,Re-export & Re-import
GUY,Agriculture
GUY,Fishing
GUY,Mining and Quarrying
GUY,Food & Beverages
GUY,Textiles and Wearing Apparel
GUY,Wood and Paper
GUY,"Petroleum, Chemical and non-Metallic Mineral Products"
GUY,Metal Products
GUY,Electrical and Machinery
GUY,Transport Equipment
GUY,Other Manufacturing
GUY,Recycling
GUY,"Electricity, Gas and Water"
GUY,Construction
GUY,Maintenance and Repair
GUY,Wholesale Trade
GUY,Retail Trade
GUY,Hotels and Restraurants
GUY,Transport
GUY,Post and Telecommunications
GUY,Finacial Intermediation and Business Activities
GUY,Public Administration
GUY,"Education, Health and Other Services"
GUY,Private Households
GUY,Others
GUY,Re-export & Re-import
HTI,Agriculture
HTI,Fishing
HTI,Mining and Quarrying
HTI,Food & Beverages
HTI,Textiles and Wearing Apparel
HTI,Wood and Paper
HTI,"Petroleum, Chemical and non-Metallic Mineral Products"
HTI,Metal Products
HTI,Electrical and Machinery
HTI,Transport Equipment
HTI,Other Manufacturing
HTI,Recycling
HTI,"Electricity, Gas and Water"
HTI,Construction
HTI,Maintenance and Repair
HTI,Wholesale Trade
HTI,Retail Trade
HTI,Hotels and Restraurants
HTI,Transport
HTI,Post and Telecommunications
HTI,Finacial Intermediation and Business Activities
HTI,Public Administration
HTI,"Education, Health and Other Services"
HTI,Private Households
HTI,Others
HTI,Re-export & Re-import
HND,Agriculture
HND,Fishing
HND,Mining and Quarrying
HND,Food & Beverages
HND,Textiles and Wearing Apparel
HND,Wood and Paper
HND,"Petroleum, Chemical and non-Metallic Mineral Products"
HND,Metal Products
HND,Electrical and Machinery
HND,Transport Equipment
HND,Other Manufacturing
HND,Recycling
HND,"Electricity, Gas and Water"
HND,Construction
HND,Maintenance and Repair
HND,Wholesale Trade
HND,Retail Trade
HND,Hotels and Restraurants
HND,Transport
HND,Post and Telecommunications
HND,Finacial Intermediation and Business Activities
HND,Public Administration
HND,"Education, Health and Other Services"
HND,Private Households
HND,Others
HND,Re-export & Re-import
HKG,Agriculture
HKG,Fishing
HKG,Mining and Quarrying
HKG,Food & Beverages
HKG,Textiles and Wearing Apparel
HKG,Wood and Paper
HKG,"Petroleum, Chemical and non-Metallic Mineral Products"
HKG,Metal Products
HKG,Electrical and Machinery
HKG,Transport Equipment
HKG,Other Manufacturing
HKG,Recycling
HKG,"Electricity, Gas and Water"
HKG,Construction
HKG,Maintenance and Repair
HKG,Wholesale Trade
HKG,Retail Trade
HKG,Hotels and Restraurants
HKG,Transport
HKG,Post and Telecommunications
HKG,Finacial Intermediation and Business Activities
HKG,Public Administration
HKG,"Education, Health and Other Services"
HKG,Private Households
HKG,Others
HKG,Re-export & Re-import
HUN,Agriculture
HUN,Fishing
HUN,Mining and Quarrying
HUN,Food & Beverages
HUN,Textiles and Wearing Apparel
HUN,Wood and Paper
HUN,"Petroleum, Chemical and non-Metallic Mineral Products"
HUN,Metal Products
HUN,Electrical and Machinery
HUN,Transport Equipment
HUN,Other Manufacturing
HUN,Recycling
HUN,"Electricity, Gas and Water"
HUN,Construction
HUN,Maintenance and Repair
HUN,Wholesale Trade
HUN,Retail Trade
HUN,Hotels and Restraurants
HUN,Transport
HUN,Post and Telecommunications
HUN,Finacial Intermediation and Business Activities
HUN,Public Administration
HUN,"Education, Health and Other Services"
HUN,Private Households
HUN,Others
HUN,Re-export & Re-import
ISL,Agriculture
ISL,Fishing
ISL,Mining and Quarrying
ISL,Food & Beverages
ISL,Textiles and Wearing Apparel
ISL,Wood and Paper
ISL,"Petroleum, Chemical and non-Metallic Mineral Products"
ISL,Metal Products
ISL,Electrical and Machinery
ISL,Transport Equipment
ISL,Other Manufacturing
ISL,Recycling
ISL,"Electricity, Gas and Water"
ISL,Construction
ISL,Maintenance and Repair
ISL,Wholesale Trade
ISL,Retail Trade
ISL,Hotels and Restraurants
ISL,Transport
ISL,Post and Telecommunications
ISL,Finacial Intermediation and Business Activities
ISL,Public Administration
ISL,"Education, Health and Other Services"
ISL,Private Households
ISL,Others
ISL,Re-export & Re-import
IND,Agriculture
IND,Fishing
IND,Mining and Quarrying
IND,Food & Beverages
IND,Textiles and Wearing Apparel
IND,Wood and Paper
IND,"Petroleum, Chemical and non-Metallic Mineral Products"
IND,Metal Products
IND,Electrical and Machinery
IND,Transport Equipment
IND,Other Manufacturing
IND,Recycling
IND,"Electricity, Gas and Water"
IND,Construction
IND,Maintenance and Repair
IND,Wholesale Trade
IND,Retail Trade
IND,Hotels and Restraurants
IND,Transport
IND,Post and Telecommunications
IND,Finacial Intermediation and Business Activities
IND,Public Administration
IND,"Education, Health and Other Services"
IND,Private Households
IND,Others
IND,Re-export & Re-import
IDN,Agriculture
IDN,Fishing
IDN,Mining and Quarrying
IDN,Food & Beverages
IDN,Textiles and Wearing Apparel
IDN,Wood and Paper
IDN,"Petroleum, Chemical and non-Metallic Mineral Products"
IDN,Metal Products
IDN,Electrical and Machinery
IDN,Transport Equipment
IDN,Other Manufacturing
IDN,Recycling
IDN,"Electricity, Gas and Water"
IDN,Construction
IDN,Maintenance and Repair
IDN,Wholesale Trade
IDN,Retail Trade
IDN,Hotels and Restraurants
IDN,Transport
IDN,Post and Telecommunications
IDN,Finacial Intermediation and Business Activities
IDN,Public Administration
IDN,"Education, Health and Other Services"
IDN,Private Households
IDN,Others
IDN,Re-export & Re-import
IRN,Agriculture
IRN,Fishing
IRN,Mining and Quarrying
IRN,Food & Beverages
IRN,Textiles and Wearing Apparel
IRN,Wood and Paper
IRN,"Petroleum, Chemical and non-Metallic Mineral Products"
IRN,Metal Products
IRN,Electrical and Machinery
IRN,Transport Equipment
IRN,Other Manufacturing
IRN,Recycling
IRN,"Electricity, Gas and Water"
IRN,Construction
IRN,Maintenance and Repair
IRN,Wholesale Trade
IRN,Retail Trade
IRN,Hotels and Restraurants
IRN,Transport
IRN,Post and Telecommunications
IRN,Finacial Intermediation and Business Activities
IRN,Public Administration
IRN,"Education, Health and Other Services"
IRN,Private Households
IRN,Others
IRN,Re-export & Re-import
IRQ,Agriculture
IRQ,Fishing
IRQ,Mining and Quarrying
IRQ,Food & Beverages
IRQ,Textiles and Wearing Apparel
IRQ,Wood and Paper
IRQ,"Petroleum, Chemical and non-Metallic Mineral Products"
IRQ,Metal Products
IRQ,Electrical and Machinery
IRQ,Transport Equipment
IRQ,Other Manufacturing
IRQ,Recycling
IRQ,"Electricity, Gas and Water"
IRQ,Construction
IRQ,Maintenance and Repair
IRQ,Wholesale Trade
IRQ,Retail Trade
IRQ,Hotels and Restraurants
IRQ,Transport
IRQ,Post and Telecommunications
IRQ,Finacial Intermediation and Business Activities
IRQ,Public Administration
IRQ,"Education, Health and Other Services"
IRQ,Private Households
IRQ,Others
IRQ,Re-export & Re-import
IRL,Agriculture
IRL,Fishing
IRL,Mining and Quarrying
IRL,Food & Beverages
IRL,Textiles and Wearing Apparel
IRL,Wood and Paper
