LOCATION,Sector
AUS,Other Manufacturing
AUS,Recycling
AUS,"Electricity, Gas and Water"
AUS,Construction
AUS,Maintenance and Repair
AUS,Wholesale Trade
AUS,Retail Trade
AUS,Hotels and Restraurants
AUS,Transport
AUS,Post and Telecommunications
AUS,Finacial Intermediation and Business Activities
AUS,Public Administration
AUS,"Education, Health and Other Services"
AUS,Private Households
AUS,Others
AUS,Re-export & Re-import
AUT,Agriculture
AUT,Fishing
AUT,Mining and Quarrying
AUT,Food & Beverages
AUT,Textiles and Wearing Apparel
AUT,Wood and Paper
AUT,"Petroleum, Chemical and non-Metallic Mineral Products"
AUT,Metal Products
AUT,Electrical and Machinery
AUT,Transport Equipment
AUT,Other Manufacturing
AUT,Recycling
AUT,"Electricity, Gas and Water"
AUT,Construction
AUT,Maintenance and Repair
AUT,Wholesale Trade
AUT,Retail Trade
AUT,Hotels and Restraurants
AUT,Transport
AUT,Post and Telecommunications
AUT,Finacial Intermediation and Business Activities
AUT,Public Administration
AUT,"Education, Health and Other Services"
AUT,Private Households
AUT,Others
AUT,Re-export & Re-import
AZE,Agriculture
AZE,Fishing
AZE,Mining and Quarrying
AZE,Food & Beverages
AZE,Textiles and Wearing Apparel
AZE,Wood and Paper
AZE,"Petroleum, Chemical and non-Metallic Mineral Products"
AZE,Metal Products
AZE,Electrical and Machinery
AZE,Transport Equipment
AZE,Other Manufacturing
AZE,Recycling
AZE,"Electricity, Gas and Water"
AZE,Construction
AZE,Maintenance and Repair
AZE,Wholesale Trade
AZE,Retail Trade
AZE,Hotels and Restraurants
AZE,Transport
AZE,Post and Telecommunications
AZE,Finacial Intermediation and Business Activities
AZE,Public Administration
AZE,"Education, Health and Other Services"
AZE,Private Households
AZE,Others
AZE,Re-export & Re-import
BHS,Agriculture
BHS,Fishing
BHS,Mining and Quarrying
BHS,Food & Beverages
BHS,Textiles and Wearing Apparel
BHS,Wood and Paper
BHS,"Petroleum, Chemical and non-Metallic Mineral Products"
BHS,Metal Products
BHS,Electrical and Machinery
BHS,Transport Equipment
BHS,Other Manufacturing
BHS,Recycling
BHS,"Electricity, Gas and Water"
BHS,Construction
BHS,Maintenance and Repair
BHS,Wholesale Trade
BHS,Retail Trade
BHS,Hotels and Restraurants
BHS,Transport
BHS,Post and Telecommunications
BHS,Finacial Intermediation and Business Activities
BHS,Public Administration
BHS,"Education, Health and Other Services"
BHS,Private Households
BHS,Others
BHS,Re-export & Re-import
BHR,Agriculture
BHR,Fishing
BHR,Mining and Quarrying
BHR,Food & Beverages
BHR,Textiles and Wearing Apparel
BHR,Wood and Paper
BHR,"Petroleum, Chemical and non-Metallic Mineral Products"
BHR,Metal Products
BHR,Electrical and Machinery
BHR,Transport Equipment
BHR,Other Manufacturing
BHR,Recycling
BHR,"Electricity, Gas and Water"
BHR,Construction
BHR,Maintenance and Repair
BHR,Wholesale Trade
BHR,Retail Trade
BHR,Hotels and Restraurants
BHR,Transport
BHR,Post and Telecommunications
BHR,Finacial Intermediation and Business Activities
BHR,Public Administration
BHR,"Education, Health and Other Services"
BHR,Private Households
BHR,Others
BHR,Re-export & Re-import
BGD,Agriculture
BGD,Fishing
BGD,Mining and Quarrying
BGD,Food & Beverages
BGD,Textiles and Wearing Apparel
BGD,Wood and Paper
BGD,"Petroleum, Chemical and non-Metallic Mineral Products"
BGD,Metal Products
BGD,Electrical and Machinery
BGD,Transport Equipment
BGD,Other Manufacturing
BGD,Recycling
BGD,"Electricity, Gas and Water"
BGD,Construction
BGD,Maintenance and Repair
BGD,Wholesale Trade
BGD,Retail Trade
BGD,Hotels and Restraurants
BGD,Transport
BGD,Post and Telecommunications
BGD,Finacial Intermediation and Business Activities
BGD,Public Administration
BGD,"Education, Health and Other Services"
BGD,Private Households
BGD,Others
BGD,Re-export & Re-import
BRB,Agriculture
BRB,Fishing
BRB,Mining and Quarrying
BRB,Food & Beverages
BRB,Textiles and Wearing Apparel
BRB,Wood and Paper
BRB,"Petroleum, Chemical and non-Metallic Mineral Products"
BRB,Metal Products
BRB,Electrical and Machinery
BRB,Transport Equipment
BRB,Other Manufacturing
BRB,Recycling
BRB,"Electricity, Gas and Water"
BRB,Construction
BRB,Maintenance and Repair
BRB,Wholesale Trade
BRB,Retail Trade
BRB,Hotels and Restraurants
BRB,Transport
BRB,Post and Telecommunications
BRB,Finacial Intermediation and Business Activities
BRB,Public Administration
BRB,"Education, Health and Other Services"
BRB,Private Households
BRB,Others
BRB,Re-export & Re-import
BLR,Agriculture
BLR,Fishing
BLR,Mining and Quarrying
BLR,Food & Beverages
BLR,Textiles and Wearing Apparel
BLR,Wood and Paper
BLR,"Petroleum, Chemical and non-Metallic Mineral Products"
BLR,Metal Products
BLR,Electrical and Machinery
BLR,Transport Equipment
BLR,Other Manufacturing
BLR,Recycling
BLR,"Electricity, Gas and Water"
BLR,Construction
BLR,Maintenance and Repair
BLR,Wholesale Trade
BLR,Retail Trade
BLR,Hotels and Restraurants
BLR,Transport
BLR,Post and Telecommunications
BLR,Finacial Intermediation and Business Activities
BLR,Public Administration
BLR,"Education, Health and Other Services"
BLR,Private Households
BLR,Others
BLR,Re-export & Re-import
BEL,Agriculture
BEL,Fishing
BEL,Mining and Quarrying
BEL,Food & Beverages
BEL,Textiles and Wearing Apparel
BEL,Wood and Paper
BEL,"Petroleum, Chemical and non-Metallic Mineral Products"
BEL,Metal Products
BEL,Electrical and Machinery
BEL,Transport Equipment
BEL,Other Manufacturing
BEL,Recycling
BEL,"Electricity, Gas and Water"
BEL,Construction
BEL,Maintenance and Repair
BEL,Wholesale Trade
BEL,Retail Trade
BEL,Hotels and Restraurants
BEL,Transport
BEL,Post and Telecommunications
BEL,Finacial Intermediation and Business Activities
BEL,Public Administration
BEL,"Education, Health and Other Services"
BEL,Private Households
BEL,Others
BEL,Re-export & Re-import
BLZ,Agriculture
BLZ,Fishing
BLZ,Mining and Quarrying
BLZ,Food & Beverages
BLZ,Textiles and Wearing Apparel
BLZ,Wood and Paper
BLZ,"Petroleum, Chemical and non-Metallic Mineral Products"
BLZ,Metal Products
BLZ,Electrical and Machinery
BLZ,Transport Equipment
BLZ,Other Manufacturing
BLZ,Recycling
BLZ,"Electricity, Gas and Water"
BLZ,Construction
BLZ,Maintenance and Repair
BLZ,Wholesale Trade
BLZ,Retail Trade
BLZ,Hotels and Restraurants
BLZ,Transport
BLZ,Post and Telecommunications
BLZ,Finacial Intermediation and Business Activities
BLZ,Public Administration
BLZ,"Education, Health and Other Services"
BLZ,Private Households
BLZ,Others
BLZ,Re-export & Re-import
BEN,Agriculture
BEN,Fishing
BEN,Mining and Quarrying
BEN,Food & Beverages
BEN,Textiles and Wearing Apparel
BEN,Wood and Paper
BEN,"Petroleum, Chemical and non-Metallic Mineral Products"
BEN,Metal Products
BEN,Electrical and Machinery
BEN,Transport Equipment
BEN,Other Manufacturing
BEN,Recycling
BEN,"Electricity, Gas and Water"
BEN,Construction
BEN,Maintenance and Repair
BEN,Wholesale Trade
BEN,Retail Trade
BEN,Hotels and Restraurants
BEN,Transport
BEN,Post and Telecommunications
BEN,Finacial Intermediation and Business Activities
BEN,Public Administration
BEN,"Education, Health and Other Services"
BEN,Private Households
BEN,Others
BEN,Re-export & Re-import
BMU,Agriculture
BMU,Fishing
BMU,Mining and Quarrying
BMU,Food & Beverages
BMU,Textiles and Wearing Apparel
BMU,Wood and Paper
BMU,"Petroleum, Chemical and non-Metallic Mineral Products"
BMU,Metal Products
BMU,Electrical and Machinery
BMU,Transport Equipment
BMU,Other Manufacturing
BMU,Recycling
BMU,"Electricity, Gas and Water"
BMU,Construction
BMU,Maintenance and Repair
BMU,Wholesale Trade
BMU,Retail Trade
BMU,Hotels and Restraurants
BMU,Transport
BMU,Post and Telecommunications
BMU,Finacial Intermediation and Business Activities
BMU,Public Administration
BMU,"Education, Health and Other Services"
BMU,Private Households
BMU,Others
BMU,Re-export & Re-import
BTN,Agriculture
BTN,Fishing
BTN,Mining and Quarrying
BTN,Food & Beverages
BTN,Textiles and Wearing Apparel
BTN,Wood and Paper
