Index,Country,CountryA3, Entity,Sector
119,"Angola",AGO,Industries,"Maintenance and Repair"
120,"Angola",AGO,Industries,"Wholesale Trade"
121,"Angola",AGO,Industries,"Retail Trade"
122,"Angola",AGO,Industries,"Hotels and Restraurants"
123,"Angola",AGO,Industries,"Transport"
124,"Angola",AGO,Industries,"Post and Telecommunications"
125,"Angola",AGO,Industries,"Finacial Intermediation and Business Activities"
126,"Angola",AGO,Industries,"Public Administration"
127,"Angola",AGO,Industries,"Education, Health and Other Services"
128,"Angola",AGO,Industries,"Private Households"
129,"Angola",AGO,Industries,"Others"
130,"Angola",AGO,Industries,"Re-export & Re-import"
131,"Antigua",ATG,Industries,"Agriculture"
132,"Antigua",ATG,Industries,"Fishing"
133,"Antigua",ATG,Industries,"Mining and Quarrying"
134,"Antigua",ATG,Industries,"Food & Beverages"
135,"Antigua",ATG,Industries,"Textiles and Wearing Apparel"
136,"Antigua",ATG,Industries,"Wood and Paper"
137,"Antigua",ATG,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products"
138,"Antigua",ATG,Industries,"Metal Products"
139,"Antigua",ATG,Industries,"Electrical and Machinery"
140,"Antigua",ATG,Industries,"Transport Equipment"
141,"Antigua",ATG,Industries,"Other Manufacturing"
142,"Antigua",ATG,Industries,"Recycling"
143,"Antigua",ATG,Industries,"Electricity, Gas and Water"
144,"Antigua",ATG,Industries,"Construction"
145,"Antigua",ATG,Industries,"Maintenance and Repair"
146,"Antigua",ATG,Industries,"Wholesale Trade"
147,"Antigua",ATG,Industries,"Retail Trade"
148,"Antigua",ATG,Industries,"Hotels and Restraurants"
149,"Antigua",ATG,Industries,"Transport"
150,"Antigua",ATG,Industries,"Post and Telecommunications"
151,"Antigua",ATG,Industries,"Finacial Intermediation and Business Activities"
152,"Antigua",ATG,Industries,"Public Administration"
153,"Antigua",ATG,Industries,"Education, Health and Other Services"
154,"Antigua",ATG,Industries,"Private Households"
155,"Antigua",ATG,Industries,"Others"
156,"Antigua",ATG,Industries,"Re-export & Re-import"
157,"Argentina",ARG,Industries,"Cereals, oilseeds and forage"
158,"Argentina",ARG,Industries,"Growing of vegetables, legumes, flowers and ornamental plants"
159,"Argentina",ARG,Industries,"Growing fruits and nuts"
160,"Argentina",ARG,Industries,"Industrial crops"
161,"Argentina",ARG,Industries,"Seed production"
162,"Argentina",ARG,Industries,"Livestock and milk production, wool and hair"
163,"Argentina",ARG,Industries,"Farm Production"
164,"Argentina",ARG,Industries,"Agricultural services"
165,"Argentina",ARG,Industries,"Hunting"
166,"Argentina",ARG,Industries,"Forestry and logging"
167,"Argentina",ARG,Industries,"Fishing"
168,"Argentina",ARG,Industries,"Extraction of petroleum, gas, coal and uranium"
169,"Argentina",ARG,Industries,"Mining of metal ores"
170,"Argentina",ARG,Industries,"Other mining"
171,"Argentina",ARG,Industries,"Killing of animals, conservation and meat processing"
172,"Argentina",ARG,Industries,"Processing and preserving of fish and fish products"
173,"Argentina",ARG,Industries,"Processing and preserving of fruits and vegetables"
174,"Argentina",ARG,Industries,"Oils and oilseeds products"
175,"Argentina",ARG,Industries,"Dairy Products"
176,"Argentina",ARG,Industries,"Grinding wheat and other cereals"
177,"Argentina",ARG,Industries,"Feed"
178,"Argentina",ARG,Industries,"Bakery Products"
179,"Argentina",ARG,Industries,"Sugar"
180,"Argentina",ARG,Industries,"Cocoa, chocolate and sugar confectionery"
181,"Argentina",ARG,Industries,"Pasta"
182,"Argentina",ARG,Industries,"Other food products"
183,"Argentina",ARG,Industries,"Alcoholic beverages"
184,"Argentina",ARG,Industries,"Wine production"
185,"Argentina",ARG,Industries,"Beer and malt"
186,"Argentina",ARG,Industries,"Soft drinks, mineral water and other nonalcoholic drinks"
187,"Argentina",ARG,Industries,"Snuff products"
188,"Argentina",ARG,Industries,"Fibers, yarns and weaving of textiles"
189,"Argentina",ARG,Industries,"Finishing of textiles"
190,"Argentina",ARG,Industries,"Manufacture of textiles"
191,"Argentina",ARG,Industries,"Knitted"
192,"Argentina",ARG,Industries,"Clothing, finishing and dyeing of fur"
193,"Argentina",ARG,Industries,"Leather tanning and finishing"
194,"Argentina",ARG,Industries,"Leather goods and leather"
195,"Argentina",ARG,Industries,"Footwear and parts"
196,"Argentina",ARG,Industries,"Sawmills"
197,"Argentina",ARG,Industries,"Wood and wood products"
198,"Argentina",ARG,Industries,"Pulp and paper"
199,"Argentina",ARG,Industries,"Corrugated paper and paperboard and containers of paper and paperboard"
200,"Argentina",ARG,Industries,"Paper and paperboard products"
201,"Argentina",ARG,Industries,"Publishing of books, pamphlets, recordings and other issues"
202,"Argentina",ARG,Industries,"Publishing of newspapers and magazines"
203,"Argentina",ARG,Industries,"Printing and reproduction of recorded media"
204,"Argentina",ARG,Industries,"Oil Refining"
205,"Argentina",ARG,Industries,"Basic Chemicals"
206,"Argentina",ARG,Industries,"Fertilizers and pesticides"
207,"Argentina",ARG,Industries,"Plastic raw materials and synthetic rubber"
208,"Argentina",ARG,Industries,"Paints and varnishes"
209,"Argentina",ARG,Industries,"Medicinal products"
210,"Argentina",ARG,Industries,"Soaps, detergents and cosmetics"
211,"Argentina",ARG,Industries,"Other chemicals"
212,"Argentina",ARG,Industries,"Manufactured fibers"
213,"Argentina",ARG,Industries,"Tires, inner tubes and retreading of casings"
214,"Argentina",ARG,Industries,"Rubber Products"
215,"Argentina",ARG,Industries,"Plastic Products"
216,"Argentina",ARG,Industries,"Glass and glass products"
217,"Argentina",ARG,Industries,"Ceramic refractory products and non-refractory non-structural"
218,"Argentina",ARG,Industries,"Non-refractory clay and ceramic products for structural use"
219,"Argentina",ARG,Industries,"Cement, lime and plaster"
220,"Argentina",ARG,Industries,"Articles of concrete, cement and plaster"
221,"Argentina",ARG,Industries,"Manufacture of basic iron and steel"
222,"Argentina",ARG,Industries,"Nonferrous metallurgy"
223,"Argentina",ARG,Industries,"Metal Casting"
224,"Argentina",ARG,Industries,"Metal structures, tanks, reservoirs and steam generators"
225,"Argentina",ARG,Industries,"Forging, rolling and metal processing"
226,"Argentina",ARG,Industries,"Cutlery and hardware and hand tools"
227,"Argentina",ARG,Industries,"Other metal products"
228,"Argentina",ARG,Industries,"Engines, turbines, pumps and compressors"
229,"Argentina",ARG,Industries,"Gears, ovens, elevators and other general purpose machinery"
230,"Argentina",ARG,Industries,"Tractors and agricultural machinery"
231,"Argentina",ARG,Industries,"Other special purpose machinery"
232,"Argentina",ARG,Industries,"Household appliances"
233,"Argentina",ARG,Industries,"Office machinery and computers"
234,"Argentina",ARG,Industries,"Motors, generators and transformers"
235,"Argentina",ARG,Industries,"Testing equipment and power distribution"
236,"Argentina",ARG,Industries,"Insulated wire and cable"
237,"Argentina",ARG,Industries,"Accumulators and batteries"
238,"Argentina",ARG,Industries,"Electric lamps and lighting equipment"
239,"Argentina",ARG,Industries,"Tubes and radio transmitters, TV and telephony"
240,"Argentina",ARG,Industries,"Radio and TV Receivers"
241,"Argentina",ARG,Industries,"Medical, precision and optical clocks"
242,"Argentina",ARG,Industries,"Motor vehicles"
243,"Argentina",ARG,Industries,"Bodies and trailers"
244,"Argentina",ARG,Industries,"Auto Parts"
245,"Argentina",ARG,Industries,"Ships, locomotives and aircraft"
246,"Argentina",ARG,Industries,"Motorcycles, bicycles and other transport"
247,"Argentina",ARG,Industries,"Furniture and mattresses"
248,"Argentina",ARG,Industries,"Other manufacturing industries"
249,"Argentina",ARG,Industries,"Electricity"
250,"Argentina",ARG,Industries,"Gas"
251,"Argentina",ARG,Industries,"Water"
252,"Argentina",ARG,Industries,"Construction"
253,"Argentina",ARG,Industries,"Wholesale"
254,"Argentina",ARG,Industries,"Retail Trade"
255,"Argentina",ARG,Industries,"Hotels"
256,"Argentina",ARG,Industries,"Restaurants"
257,"Argentina",ARG,Industries,"Passenger transportation"
258,"Argentina",ARG,Industries,"Land freight transport"
259,"Argentina",ARG,Industries,"Pipeline Transport"
260,"Argentina",ARG,Industries,"Shipping"
261,"Argentina",ARG,Industries,"Air transport"
262,"Argentina",ARG,Industries,"Transport activities"
263,"Argentina",ARG,Industries,"Post service"
264,"Argentina",ARG,Industries,"Telecommunications"
265,"Argentina",ARG,Industries,"Financial Institutions"
266,"Argentina",ARG,Industries,"Insurance"
267,"Argentina",ARG,Industries,"Business services and professional"
268,"Argentina",ARG,Industries,"Real estate"
269,"Argentina",ARG,Industries,"Public administration and defense and social security schemes of compulsory"
270,"Argentina",ARG,Industries,"Public education"
271,"Argentina",ARG,Industries,"Private Education"
272,"Argentina",ARG,Industries,"Public human health"
273,"Argentina",ARG,Industries,"Private human health"
274,"Argentina",ARG,Industries,"Veterinary services"
275,"Argentina",ARG,Industries,"Social Services"
276,"Argentina",ARG,Industries,"Sanitation"
277,"Argentina",ARG,Industries,"Partnerships Activity"
278,"Argentina",ARG,Industries,"Cinema services, radio and television"
279,"Argentina",ARG,Industries,"Personal services, repair, sports and leisure activities"
280,"Argentina",ARG,Industries,"Housekeeping"
281,"Argentina",ARG,Industries,"Reexport"
282,"Argentina",ARG,Commodities,"Cereals"
283,"Argentina",ARG,Commodities,"Vegetables and legumes"
284,"Argentina",ARG,Commodities,"Fruits and nuts"
285,"Argentina",ARG,Commodities,"Oil seeds and oleaginous fruits"
286,"Argentina",ARG,Commodities,"Live plants, flowers and flower buds, seeds of flowers and fruits, vegetable seeds"
287,"Argentina",ARG,Commodities,"Plant crops and spices beverages"
288,"Argentina",ARG,Commodities,"Snuff unprocessed"
289,"Argentina",ARG,Commodities,"Plants used for sugar manufacturing"
290,"Argentina",ARG,Commodities,"Raw vegetable materials nec"
291,"Argentina",ARG,Commodities,"Live animals"
292,"Argentina",ARG,Commodities,"Other animal products"
293,"Argentina",ARG,Commodities,"Raw wood"
294,"Argentina",ARG,Commodities,"Natural gums"
295,"Argentina",ARG,Commodities,"Other forestry products (includes charcoal)"
296,"Argentina",ARG,Commodities,"Fish live, fresh or chilled"
297,"Argentina",ARG,Commodities,"Not frozen crustaceans, oysters, other invertebrates, live, fresh or chilled"
298,"Argentina",ARG,Commodities,"Other aquatic products"
299,"Argentina",ARG,Commodities,"Coal and lignite, peat"
300,"Argentina",ARG,Commodities,"Crude oil and natural gas"
301,"Argentina",ARG,Commodities,"Ores and concentrates of uranium and thorium"
302,"Argentina",ARG,Commodities,"Iron ores and concentrates, other than roasted iron pyrites"
303,"Argentina",ARG,Commodities,"Ores and concentrates of nonferrous metals (except ores and concentrates of uranium or thorium)"
304,"Argentina",ARG,Commodities,"Building or carving stone"
305,"Argentina",ARG,Commodities,"Gypsum; anhydrite, limestone flux, limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"
306,"Argentina",ARG,Commodities,"Arenas, songs, gravel, broken or crushed stone, natural bitumen and asphalt"
307,"Argentina",ARG,Commodities,"Clays"
308,"Argentina",ARG,Commodities,"Chemical and fertilizer minerals"
309,"Argentina",ARG,Commodities,"Salt and pure sodium chloride, sea water"
310,"Argentina",ARG,Commodities,"Precious and semiprecious stones, pumice stone, emery, natural abrasives, other minerals"
311,"Argentina",ARG,Commodities,"Electricity, but distribution service"
312,"Argentina",ARG,Commodities,"Coal gas, water gas, producer gas and other similar gases, other than petroleum gases and other gaseous hydrocarbons"
313,"Argentina",ARG,Commodities,"Meat and meat products"
314,"Argentina",ARG,Commodities,"Prepared or preserved fish"
315,"Argentina",ARG,Commodities,"Vegetables prepared or preserved"
316,"Argentina",ARG,Commodities,"Fruit and vegetable juices"
317,"Argentina",ARG,Commodities,"Fruits and nuts, prepared or preserved"
318,"Argentina",ARG,Commodities,"Oils and animal fats and vegetable"
319,"Argentina",ARG,Commodities,"Cotton linters, oilseed cake, flours of seeds or oleaginous fruits, vegetable waxes"
320,"Argentina",ARG,Commodities,"Dairy Products"
321,"Argentina",ARG,Commodities,"Milling products. starches and starch products, sugars and sugar syrups nec"
322,"Argentina",ARG,Commodities,"Preparations used for animal feed"
323,"Argentina",ARG,Commodities,"Bakery Products"
324,"Argentina",ARG,Commodities,"Sugar"
325,"Argentina",ARG,Commodities,"Cocoa, chocolate and sugar confectionery"
326,"Argentina",ARG,Commodities,"Macaroni, noodles, couscous and similar farinaceous products"
327,"Argentina",ARG,Commodities,"Foodstuffs nec"
328,"Argentina",ARG,Commodities,"Alcoholic beverages nec"
329,"Argentina",ARG,Commodities,"Wines"
330,"Argentina",ARG,Commodities,"Beer and malt"
331,"Argentina",ARG,Commodities,"Soft drinks, bottled mineral water"
332,"Argentina",ARG,Commodities,"Snuff products"
333,"Argentina",ARG,Commodities,"Natural textile fibers ready for spinning"
334,"Argentina",ARG,Commodities,"Textile staple fibers, processed for spinning"
335,"Argentina",ARG,Commodities,"Yarns and threads for textile fibers"
336,"Argentina",ARG,Commodities,"Fabrics"
337,"Argentina",ARG,Commodities,"Made-up textile articles"
338,"Argentina",ARG,Commodities,"Clothing, except fur"
339,"Argentina",ARG,Commodities,"Furskins, tanned or dressed, and artificial skins, articles made with these skins (except headgear)"
340,"Argentina",ARG,Commodities,"Hardened or pickled leather, synthetic or composition leather"
341,"Argentina",ARG,Commodities,"Luggage, handbags and similar articles, articles of saddlery, leather goods"
342,"Argentina",ARG,Commodities,"Footwear"
343,"Argentina",ARG,Commodities,"Parts of footwear, insoles, heel cushions and similar articles, gaiters, leggings and similar articles and parts thereof"
344,"Argentina",ARG,Commodities,"Wood sawn or chipped lengthwise"
345,"Argentina",ARG,Commodities,"Wood continuously shaped along any its edges or faces, wood wool, wood flour, wood chips or particles"
346,"Argentina",ARG,Commodities,"Wood products"
347,"Argentina",ARG,Commodities,"Pulp, paper and paperboard"
348,"Argentina",ARG,Commodities,"Books, brochures, leaflets (except advertising material) printed, printed maps, printed or handwritten sheet music"
349,"Argentina",ARG,Commodities,"Newspapers, magazines and periodicals"
350,"Argentina",ARG,Commodities,"Postage stamps, checkbooks, bank notes, promotional materials, prints and other printed"
351,"Argentina",ARG,Commodities,"Record books, account books, booklets, notes, letter pads and other stationery, paper or cardboard, types of printing plates or cylinders ready for printing or other printing components"
352,"Argentina",ARG,Commodities,"Gasoline, gas oil, fuel oil and other fuels, other refined petroleum products and preparations nec"
353,"Argentina",ARG,Commodities,"Petroleum gases and other gaseous hydrocarbons, except natural gas"
354,"Argentina",ARG,Commodities,"Vaseline, wax and similar products, waste oil or oils obtained from bituminous minerals, nuclear fuel"
355,"Argentina",ARG,Commodities,"Basic organic chemicals, basic inorganic chemicals nec, chemical products nec"
356,"Argentina",ARG,Commodities,"Dyeing and tanning extracts, tannins and their derivatives nec dyestuffs"
357,"Argentina",ARG,Commodities,"Fertilizers and pesticides"
358,"Argentina",ARG,Commodities,"Plastics in primary forms"
359,"Argentina",ARG,Commodities,"Synthetic rubber, artificial mixtures and similar natural gums"
360,"Argentina",ARG,Commodities,"Paints and varnishes and related products, colors for painting, ink"
361,"Argentina",ARG,Commodities,"Pharmaceuticals"
362,"Argentina",ARG,Commodities,"Soap, cleaning preparations, perfumes and toilet preparations"
363,"Argentina",ARG,Commodities,"Made textile fibers"
364,"Argentina",ARG,Commodities,"Tyres and inner tubes, rubber"
365,"Argentina",ARG,Commodities,"Other rubber products"
366,"Argentina",ARG,Commodities,"Semi-manufactures of plastics"
367,"Argentina",ARG,Commodities,"Articles for the packing of goods, of plastics"
368,"Argentina",ARG,Commodities,"Other plastic products"
369,"Argentina",ARG,Commodities,"Glass and glass products"
370,"Argentina",ARG,Commodities,"Non-structural ceramic ware"
371,"Argentina",ARG,Commodities,"Refractory products and structural non-refractory clay"
372,"Argentina",ARG,Commodities,"Cement, lime and plaster"
373,"Argentina",ARG,Commodities,"Articles of concrete, cement and plaster"
374,"Argentina",ARG,Commodities,"Carving or building stone and related products"
375,"Argentina",ARG,Commodities,"Other non-metallic mineral products nec"
376,"Argentina",ARG,Commodities,"Furniture and car seats"
377,"Argentina",ARG,Commodities,"Jewellery and related articles, musical instruments, sports goods, games and toys"
